date,time,state,cases
01/04/2020,7:30 PM,Kerala,241
01/04/2020,7:30 PM,Ladakh,13
01/04/2020,7:30 PM,Madhya Pradesh,66
01/04/2020,7:30 PM,Maharashtra,302
01/04/2020,7:30 PM,Manipur,1
01/04/2020,7:30 PM,Mizoram,1
01/04/2020,7:30 PM,Odisha,4
01/04/2020,7:30 PM,Puducherry,3
01/04/2020,7:30 PM,Punjab,42
01/04/2020,7:30 PM,Rajasthan,93
01/04/2020,7:30 PM,Tamil Nadu,234
01/04/2020,7:30 PM,Telengana,96
01/04/2020,7:30 PM,Uttarakhand,7
01/04/2020,7:30 PM,Uttar Pradesh,103
01/04/2020,7:30 PM,West Bengal,37
02/04/2020,6:00 PM,Andhra Pradesh,86
02/04/2020,6:00 PM,Andaman and Nicobar Islands,10
02/04/2020,6:00 PM,Assam,5
02/04/2020,6:00 PM,Bihar,24
02/04/2020,6:00 PM,Chandigarh,16
02/04/2020,6:00 PM,Chhattisgarh,9
02/04/2020,6:00 PM,Delhi,219
02/04/2020,6:00 PM,Goa,5
02/04/2020,6:00 PM,Gujarat,87
02/04/2020,6:00 PM,Haryana,43
02/04/2020,6:00 PM,Himachal Pradesh,3
02/04/2020,6:00 PM,Jammu and Kashmir,62
02/04/2020,6:00 PM,Jharkhand,1
02/04/2020,6:00 PM,Karnataka,110
02/04/2020,6:00 PM,Kerala,265
02/04/2020,6:00 PM,Ladakh,13
02/04/2020,6:00 PM,Madhya Pradesh,99
02/04/2020,6:00 PM,Maharashtra,335
02/04/2020,6:00 PM,Manipur,1
02/04/2020,6:00 PM,Mizoram,1
02/04/2020,6:00 PM,Odisha,4
02/04/2020,6:00 PM,Puducherry,3
02/04/2020,6:00 PM,Punjab,46
02/04/2020,6:00 PM,Rajasthan,108
02/04/2020,6:00 PM,Tamil Nadu,234
02/04/2020,6:00 PM,Telengana,107
02/04/2020,6:00 PM,Uttarakhand,7
02/04/2020,6:00 PM,Uttar Pradesh,113
02/04/2020,6:00 PM,West Bengal,53
03/04/2020,6:00 PM,Andhra Pradesh,132
03/04/2020,6:00 PM,Andaman and Nicobar Islands,10
03/04/2020,6:00 PM,Arunachal Pradesh,1
03/04/2020,6:00 PM,Assam,16
03/04/2020,6:00 PM,Bihar,29
03/04/2020,6:00 PM,Chandigarh,18
03/04/2020,6:00 PM,Chhattisgarh,9
03/04/2020,6:00 PM,Delhi,219
03/04/2020,6:00 PM,Goa,6
03/04/2020,6:00 PM,Gujarat,95
03/04/2020,6:00 PM,Haryana,49
03/04/2020,6:00 PM,Himachal Pradesh,6
03/04/2020,6:00 PM,Jammu and Kashmir,75
03/04/2020,6:00 PM,Jharkhand,2
03/04/2020,6:00 PM,Karnataka,124
03/04/2020,6:00 PM,Kerala,286
03/04/2020,6:00 PM,Ladakh,14
03/04/2020,6:00 PM,Madhya Pradesh,104
03/04/2020,6:00 PM,Maharashtra,335
03/04/2020,6:00 PM,Manipur,2
03/04/2020,6:00 PM,Mizoram,1
03/04/2020,6:00 PM,Odisha,5
03/04/2020,6:00 PM,Puducherry,5
